id,name,kinyarwanda,kirundi,somali,name_source,translation_id,eheza_field_path,source_module,elm_construct,datatype
EHEZA-0109,Outcome,,,,fallback,,IndividualEncounterParticipant.outcome,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Coded
EHEZA-0110,Delivery Location,,,,fallback,,IndividualEncounterParticipant.deliveryLocation,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Coded
EHEZA-0111,Newborn,,,,fallback,,IndividualEncounterParticipant.newborn,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,record_field,Text
EHEZA-0112,Individual Participant Extra Data,,,,fallback,,IndividualParticipantExtraData,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0113,Acute Illness Data,,,,fallback,,IndividualParticipantExtraData.AcuteIllnessData,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0114,Antenatal Data,,,,fallback,,IndividualParticipantExtraData.AntenatalData,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0115,Well Child Data,,,,fallback,,IndividualParticipantExtraData.WellChildData,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0116,Nutrition Data,,,,fallback,,IndividualParticipantExtraData.NutritionData,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0117,No Individual Participant Extra Data,,,,fallback,,IndividualParticipantExtraData.NoIndividualParticipantExtraData,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0118,Individual Participant Initiator,,,,fallback,,IndividualParticipantInitiator,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0119,Individual Encounter Type,,,,fallback,,IndividualEncounterType,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0120,Facility Delivery,,,,fallback,,DeliveryLocation.FacilityDelivery,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0121,Home Delivery,,,,fallback,,DeliveryLocation.HomeDelivery,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0122,Individual Encounter Participant Outcome,,,,fallback,,IndividualEncounterParticipantOutcome,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0123,Acute Illness,Uburwayi butunguranye,Ingwara ikaze,Xanuun soo Bood ah,translation,AcuteIllness,IndividualEncounterParticipantOutcome.AcuteIllness,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0124,Pregnancy (1-9),Gutwita (1-9),Inda (1-9),,translation,Pregnancy,IndividualEncounterParticipantOutcome.Pregnancy,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0125,HIV,Virusi itera SIDA,Umugera wa SIDA,,translation,HIV,IndividualEncounterParticipantOutcome.HIV,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0126,Acute Illness Outcome,Iherezo ry'indwara ifatiyeho\n,Inkurikizi/ingaruka z'ingwara ibabaza cane/ikaze,Natiijada Xanuunka soo Boodada ah,translation,AcuteIllnessOutcomeLabel,AcuteIllnessOutcome,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_type,Coded
EHEZA-0127,Illness Resolved,Indwara Yarakize,Ingwara yatorewe inyishu,Cudurka iskiis u baaba`ay,translation,OutcomeIllnessResolved,AcuteIllnessOutcome.OutcomeIllnessResolved,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
EHEZA-0128,Lost to Follow Up,Umurwayi yaburiwe irengero,Yarabuzwe mu gihe co gukurikiranwa,Aan la,translation,OutcomeLostToFollowUp,AcuteIllnessOutcome.OutcomeLostToFollowUp,client/src/elm/Backend/IndividualEncounterParticipant/Model.elm,union_constructor,N/A
